카페명,판정,registry매칭,지역,정보등급,유튜브_언급영상,유튜브_최고조회수,유튜브_요약,주소_Pass1,블로그_유효스니펫,블로그_블로거수,블로그_최신포스트,블로그_총량참고,지역검색_상호,지역검색_업종,지역검색_주소,플래그,스니펫예시
그린루스카,유지,O,제주시내,low,1,32511,,,64,61,20260707,162,그린루스카,"카페,디저트>카페",제주특별자치도 제주시 서사로12길 45 1층,,"배터지게 먹고 드림타워 포차에서 술도 한잔 했어요 ㅎㅎ 그럼 3일차로...슝=3 제주 일기 1,2일차가 궁금하다면- &lt;&gt; &lt;&gt; 제주여행기록&lt;Day3&gt"
딜레탕트,유지,,김녕,low,2,33490,,,62,61,20260322,2198,딜레탕트 베이크,"음식점>카페,디저트",제주특별자치도 제주시 원노형남2길 19 1층,,"제주 두쫀쿠 맛집 딜레탕트 웨이팅을 끝내고 드디어 주문과 결제를 할 수 있었습니다. 제주 딜레탕트 두쫀쿠는 한개당 7,400원입니다. 저는 두쫀쿠 2개랑 아이스아메리카노 포장했는데"
무슈부부커피스탠드 오리진,유지,O,구좌,high,2,33626,필터커피와 특별한 에스프레소 음료를 추천하는 커피 스탠드.,제주특별자치도 제주시 구좌읍 구좌로 53 1층,63,61,20260706,1622,무슈부부커피스탠드 오리진,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 구좌로 53 1층,,바로 제주 이색카페로 유명한 무슈부부커피스탠드오리진 제대로 된 커피를 맛볼 수 있는 곳으로 사람들한테 유명한 곳이라고 하더라고요 위치는 제주 구좌읍 세화초등학교 가는 길에 있어요 
취향의섬,유지,O,남원,high,1,28050,,제주 서귀포시 남원읍 태위로398번길 7,61,61,20260704,44176,취향의섬,음식점>퓨전음식,제주특별자치도 서귀포시 남원읍 태위로398번길 7 취향의 섬,비카페업종,제주동백수목원 근처 파스타 맛집임 제주도 서귀포 파스타 맛집 취향의 섬 첫인상 취향의 섬은 제주동백수목원 근처 식당들 중에서도 살짝 안쪽 골목에 숨어 있어서 진짜 동네 친구 집 찾
중섭의집,유지,O,서귀포시내,low,1,76699,영상에서 '느좋 카페'로 소개됨.,,62,60,20260626,2377,중섭의 집,"음식점>카페,디저트",제주특별자치도 서귀포시 명동로 26-1,,#제주중섭의집 #제주서귀포카페 제주 중섭의 집 제주특별자치도 서귀포시 서귀동 413-3 *영업시간 월... 중섭의 집 주변을 보면 흔한 상가 건물이 수십개가 있어서 이런 공간이 있
집아페,유지,,서귀포시내,low,1,24615,,,62,60,20260622,1561,집아페,"음식점>일식>초밥,롤",제주특별자치도 제주시 서광로13길 3,비카페업종,맛있는 초밥과 이자카야를 함께 즐기고싶을때!! #집아페제주 추천추천드려요!! #집아페제주 #제주초밥맛집 #제주삼도동맛집 #제주이자카야 #제주초밥 #제주집아페 #집아페예약 #집아페웨
하이엔드제주,유지,O,애월,high,1,1032,"넓고 탁 트인 테라스와 시원한 바닷바람으로 푸른 오션뷰를 즐길 수 있으며, 직접 만든 과일 디저트와 케이크를 전문으로 함. 영업시간은 매일 10",제주시 애월읍 애워북서길56 하이엔드제주,65,60,20260701,38891,해지개더궁,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 애월북서길 56 해지개더궁,이름불일치,엄마랑 동생도 예쁜 바다를 봤으면 하는 바람에 카페거리를 열심히 찾아서 하이엔드제주에 처음 방문해 봤어요 하이엔드제주 하이엔드제주 외관 애월 카페거리에 있는 하이엔드제주! 바로 앞
애월오누이,유지,,애월,low,1,210,,,62,60,20260626,990,애월오누이 제주,음식점>한식,제주특별자치도 제주시 애월읍 애월로9길 54 애월오누이 식당,비카페업종,바로 애월 오누이! 폭풍서치로 선택한 맛집입니당  부부 두분이서 운영하는듯했어용 너무 크지않고... 차림의 제주 집밥을 느낄수 있어요 제주 애월 오누이는 애견 동반(케이지 필수)도
이후북스,유지,,서귀포시내,low,1,60435,,,60,60,20260704,7632,이후북스 제주점,서점>독립서점,제주특별자치도 제주시 관덕로4길 3,비카페업종,10.02 ~ 10.05 제주 서쪽여행✈️ 10월초 다녀온 제주 여행 사진 보니 춥다 추워. 올 여름이 유독 길었고... 인센스만 사고 바로 나와서 이후북스로 달려가기. 이후북스는
빠빠라기,유지,O,제주시내,low,1,26899,,,60,60,20260706,5838,빠빠라기,"카페,디저트>카페",제주특별자치도 제주시 중앙로 218 남광빌딩,,제주 빠빠라기 안녕하세요 푸드 블로거 찬란치니 입니다. 오늘은 제주 빠빠라기 다녀온 후기 들려 드릴게요. 제주 빠빠라기는 옛날 빙수가 맛집인 카페에요. 제원이랑 시청 근처에 매장이
장인더,유지,,제주시내,low,1,26899,,,60,60,20260708,88656,장인더 제주점,"음식점>카페,디저트",제주특별자치도 제주시 탑동로 136 장인더 제주,,장인 더 제주점 제주시 탑동로 136 영업시간 _ 매일 10:00 - 18:00 라스트 오더 _ 17:00 0507 1485 2122 진짜 오늘부터 다시 블로그 자주 와야지!! 작
젤라떼리아 섬,유지,,조천,high,1,350,블루리본 젤라또를 판매하는 젤라또 전문 카페.,제주 제주시 조천읍 비자림로 422-2,63,60,20260706,765,젤라떼리아섬,"카페,디저트>아이스크림",제주특별자치도 제주시 조천읍 비자림로 422-2 102호 젤라떼리아섬,,"제주도 옥수수 아이스크림, 젤라떼리아섬 제주 디저트 찐이다! 제주시에 들렀던 어느 날, 유난히 더운 날씨에 시원한 아이스크림이 당겼다. 어디 괜찮은 디저트 가게 없을까 검색하던 남"
비에노즈,유지,O,한림,low,1,272,,,78,59,20260707,972,비에노즈 풀빌라,숙박>펜션,제주특별자치도 제주시 한림읍 한림해안로 674 비에노즈,비카페업종,다음에도 제주 애월 독채펜션을 고민하게 된다면 또 이곳을 예약하고 싶다는 생각이 드는 정말 만족스러운 숙소였답니다! 비에노즈 풀빌라 주소: 제주 제주시 한림읍 한림해안로 674 대
치저스,유지,,구좌,high,1,105802,,제주 제주시 구좌읍 비자림로 1785,60,59,20260702,3395,치저스,음식점>양식,제주특별자치도 제주시 구좌읍 비자림로 1785,비카페업종,오늘은 남자친구가 생일이라고 무려 손수 예약까지 하고 데려간 치저스 후기 가져왔어요. 제주도에서 데이트 하다보니 맛집이 너무 많아서 행복해요. 위치 및 예약 방법 제주 치저스는 제
휴일로,유지,,안덕,high,3,26899,오션뷰 카페. 영업시간 매일 10:00~19:00(18:30 라스트오더).,제주 서귀포시 안덕면 난드르로 49-65 휴일로카페,60,59,20260708,145954,휴일로,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 난드르로 49-65 휴일로카페,,"서귀포카페 제주 휴일로 제주도 오션뷰 베이커리 카페 글·사진 ⓒ 다희아몬드 이곳은 서귀포시 안덕면... 휴일로는 제주공항에서 1시간 정도 소요되며 주변 가까운 여행지는 군산 오름,"
다니쉬,유지,O,제주시내,mid,2,4720,휘낭시에·까눌레 등 구움과자를 판매한다고 본문에 언급되어 있습니다.,,63,59,20260630,4667,다니쉬,"카페,디저트>베이커리",제주특별자치도 제주시 조천읍 함덕16길 56 다니쉬,,맛보는걸 추천드려요 #제주다니쉬 #다니쉬 #제주빵집 #제주맛집 #함덕빵집 #함덕맛집 #함덕카페 #함덕디저트 #다니쉬휘낭시에 #다니쉬감자빵 #제주카페추천 #함덕해수욕장맛집 #함덕해수
보라지붕,유지,O,조천,low,1,593,,,59,59,20260707,5938,보라지붕,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 함덕19길 6,,이름처럼 보라지붕이 반겨준 구옥 갬성 낭낭했던 카페입니당- #제주함덕카페 #함덕카페 #함덕보라지붕 보라지붕 메뉴판 냥냥이가 이곳저곳에서 출연하는 곳이라 냥냥이 좋아라하시는 분들은 
김녕카페,유지,,김녕,low,1,24,,,61,59,20260624,82998,김녕카페,"음식점>카페,디저트","제주특별자치도 제주시 구좌읍 김녕로21길 25 제2동 1, 2층(큰 건물)",,제주도 카페 추천 김녕해수욕장 오션뷰 제주 동쪽 베이커리카페 델문도 김녕점 내돈내산 후기 글/사진... 피터팬의 까칠한 제주 김녕 카페 델문도 이용정보 제주 델문도 김녕점을 방문하
탐앤탐스,유지,,김녕,low,1,359,,,63,59,20260703,5521,탐앤탐스커피신제주점,"카페,디저트>카페",제주특별자치도 제주시 신광로 52 1층 탐앤탐스 신제주점,,제주 김녕 탐앤탐스 아쿠아점에는 수족관 = 미니 아쿠아리움 있습니다.! 갈치 고등어 못생긴 애들만... 제주 탐앤탐스 김녕점에는 무슨 텀블러가 있나 굿즈를 한번 훑어보았습니다. 현
공회당,유지,,제주시내,low,2,96467,,,59,58,20260707,1509,구좌 종달리카페 공회당,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 종달로5길 33-1 공회당,,"주차 제주 종달리 공회당 길이 꼬불꼬불~종달리 동네 안에 있다보니 골목길을 따라 들어가다보면 넓은... 제주 공회당카페의 마스코트 멋쟁이 개 아톰이 있는데, 처음에는 못 알아차렸는"
브라보 (젤라또),유지,,제주시내,mid,1,76699,젤라또 맛집으로 소금바질우유 추천이 언급됨.,,61,58,20260705,961,브라보,"카페,디저트>아이스크림",제주특별자치도 제주시 산지로 19 1F BRAVO gelateria,,젤라또 원없이 먹었는데.. 성주 참외랑 성읍 말차로 골랐다. 젤라또는 무조건 상큼&부드러움 조합으로 먹어야 함 너무 맛있당. ㅎㅎㅎ 둘 다 왕 추천 제주 브라보 젤라또 제주시 산지
하토우,유지,,함덕,low,1,13386,,,60,58,20260629,774,하토우 커피 로스터스,"카페,디저트>카페",제주특별자치도 제주시 구좌읍 구좌로 188-1 1층,,2박3일 제주 동쪽여행 마지막날 마지막날이 되서야 숙소주변을 돌아다닐 수 있었다 요렇게 멋진... 식당 앞에 이렇게 믓진 바다도 펼쳐져 있숨 바다보며 잠깐 소화시키구 이제 슬슬 올
카페나모나모베이커리,유지,O,제주시내,low,1,6285,,,63,58,20260623,1100,카페 나모나모 베이커리,"음식점>카페,디저트",제주특별자치도 제주시 도두봉6길 4,,바로 제주 카페나모나모 베이커리 인데요. 카페인데 왜 빵집이라고 할까? .... 카페인데 빵집보다 빵이... 나모나모 베이커리카페에는 50대 이상 주차가능한 전용 주차장을 보유하기
바이러닉,유지,,제주시내,low,2,26899,,,58,58,20260706,2705,바이러닉 에스프레소 바 제주점,"카페,디저트>카페",제주특별자치도 제주시 테우해안로 96 바이러닉 에스프레소바,,오늘도 글 읽어주셔서 감사해요 다음 포스팅에서 만나요❤️ #제주도 #제주도여행 #제주시카페 #제주내도동카페 #제주바이러닉 #바이러닉제주 #바이러닉에스프레소바 #제주도카페 #서이추 
피커스 제주,유지,,기타,low,1,149,,,58,58,20260620,2821,피커스,"음식점>카페,디저트",제주특별자치도 제주시 아연로 444-1 2층,이름불일치,카페#제주 빵집#제주 아이랑 가볼만한곳#제주공항근처카페#제주비오는날갈만한곳#제주체험거리#제주도아이랑가볼만한곳#제주도피커스#피커스#피커스제주#제주대형카페#제주롤러장#제주롤러스케이트장
말차카페,유지,,조천,low,1,62117,,,60,58,20260708,236044,하토 말차,"음식점>카페,디저트",제주특별자치도 제주시 남성로 167 2층,이름불일치,제주 위호텔 로비 슬로우말차 카페 분위기 갑! 안녕하세요! 여행하는 워킹맘 문틈새 입니다. 저는 제주도가면 꼭 묵는 숙소가 있습니다. 제주 위호텔 인데요 한라산 중간에 있어서 다들
자드부팡,유지,O,조천,low,1,319,,,59,58,20260621,1839,자드부팡,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 북흘로 385-216,,카페 정보 상호: 자드부팡 (Jas de Bouffan) 주소: 제주 제주시 조천읍 북흘로 385-216 운영시간: 월~금 11:00~17... 특히 제주 중산간 기후를 잘 활용해
카페 위이 (wiee),유지,,위미,low,1,3288,,,60,58,20260622,545,위이,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 신화역사로682번길 12,이름불일치,주차가능 #위이 #위이제주 #카페위이 #제주카페 지난 제주여행때 완전 여기 근처로 묵었어서 아쉽지만 그때 못 갔었던 위이(wiee)는 올 생각도 못했었는데 남편(본적이 제주)의 개
레이지펌프,유지,,제주시내,low,1,96467,,,74,57,20260703,16056,레이지펌프,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 애월북서길 32 lazypump,,레이지펌프 제주 제주시 애월읍 애월북서길 32 영업시간: 매일 09:00~20:00 라스트오더 19:40 주차장:O 애월 카페 위치 및 주차 제주 이색 카페 레이지펌프는 제주공항에
레이지 펌프,유지,,애월,high,1,14986,다양한 포토존 & 층마다 다른 분위기가 특징입니다.,제주 제주시 애월읍 애월북서길 32,74,57,20260703,16056,레이지펌프,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 애월북서길 32 lazypump,,레이지펌프 제주 제주시 애월읍 애월북서길 32 영업시간: 매일 09:00~20:00 라스트오더 19:40 주차장:O 애월 카페 위치 및 주차 제주 이색 카페 레이지펌프는 제주공항에
고토커피바,유지,,애월,low,1,4853,,,57,57,20260705,1731,고토커피바,"카페,디저트>카페",제주특별자치도 제주시 애월읍 구엄동3길 56 1층 고토커피바,,애월 고토커피바 방문 제주 여행 마지막 날 호텔 체크아웃을 하고 와이프랑 같이 커피 한 잔을 하기 위해 방문하게 된 곳은 제주 분위기 좋은 카페로 유명한 고토커피바 이곳은 여행을 
호텔샌드,유지,O,협재,mid,1,4165,협재해변이 한 눈에 보이는 오션뷰 카페로 커피와 다양한 디저트를 제공한다.,,59,57,20260708,39673,호텔샌드,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 한림로 339,,제주도 카페 중 너무 좋았던 기억으로 꼭 다들 가보시라고 포스팅합니다 상호 - 호텔샌드  주소 - 제주 제주시 한림읍 한림로 339 ⏰ 영업시간 - 09:00 - 20:00 ☎️ 
모찌마루,유지,,제주시내,high,2,20833,"영업시간 9시~18시, 과일모찌 등 디저트류를 포장 판매하며 제주여행 선물용으로 개별포장·박스포장 제공.",제주 제주시 용담이동 1564,100,57,20260704,2794,모찌마루,"음식점>카페,디저트",제주특별자치도 제주시 공항로1길 14 제1동 지하1층,,모찌마루 주소: 제주 제주시 공항로1길 14 제1동 지하1층 전화번호:0507-1396-5153 영업시간:매일 09:00~18:00 제주 롯데렌트카를 픽업 하고 난 후 모찌마루에 
모알보알,유지,O,구좌,low,3,44350,,,57,57,20260706,10815,카페모알보알 제주점,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 구좌해안로 141 카페 모알보알,,그래서 바로 들뜬 맘으로 모알보알 카페로 향했답니다 슈우우웅 애월 카페 모알보알제주 모알보알... 카페 모알보알 제주 포토존 음료를 다 마시고 야외에 있는 포토존으로 나가봤어용 ㅋ
오늘도화창 (카페),유지,O,종달리,low,1,24486,,,58,57,20260708,1957,오늘도화창,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 월정5길 56 초록지붕 하얀집.,,계신다면 오늘 소개할 곳 정말 마음에 드실 거예요 바로 제주 구좌읍 월정리 골목 안에 숨어있는 감성카페 오늘도화창 입니다 카페로 향하는 길부터 뭔가 설레더라구요ㅎㅎ 월정리의 조용한
하토우 커피 로스터스,유지,O,구좌,high,2,5663,스페셜티 커피를 제공하는 로스터리 카페.,제주 제주시 구좌읍 구좌로 188-1 1층,58,57,20260629,412,하토우 커피 로스터스,"카페,디저트>카페",제주특별자치도 제주시 구좌읍 구좌로 188-1 1층,,2박3일 제주 동쪽여행 마지막날 마지막날이 되서야 숙소주변을 돌아다닐 수 있었다 요렇게 멋진... 궁금했던 하토우 커피로스터스에 왔다 사장님이 원두에 진심인게 느껴지는 곳 무인양품
스타벅스 송당,유지,,제주시내,low,1,26899,,,59,57,20260705,16207,스타벅스 더제주송당파크R점,"카페,디저트>카페",제주특별자치도 제주시 구좌읍 비자림로 1189,이름불일치,너무 귀여운 토토로 포토존 다음은 스타벅스 송당점! 여긴 워낙 유명 관광지에 있기 때문에 사람이... :) #제주동화마을 #제주스타벅스송당파크R점 #동화마을스타벅스 #제주지브리샵 
하토우커피로스터스,유지,O,구좌,low,1,32511,,,58,57,20260629,412,하토우 커피 로스터스,"카페,디저트>카페",제주특별자치도 제주시 구좌읍 구좌로 188-1 1층,,2박3일 제주 동쪽여행 마지막날 마지막날이 되서야 숙소주변을 돌아다닐 수 있었다 요렇게 멋진... 궁금했던 하토우 커피로스터스에 왔다 사장님이 원두에 진심인게 느껴지는 곳 무인양품
오마이코티지,유지,,서귀포시내,low,3,2132,,,62,57,20260703,416,오 마이 코티지,숙박>민박,제주특별자치도 서귀포시 안덕면 덕수회관로74번길 32 오마이코티지,비카페업종,나무문 틈새 공간들이 있어서 유리문을 잘 닫아줘야 춥지 않고 벌레가 안들어 올 것 같아요. 숙소... 만족스러웠던 오마이코티지 후기였습니다. 제주에서 아기자기하고 동화 같은 분위기
카페델문도 김녕점,유지,,김녕,low,1,1328,,,59,57,20260707,38509,델문도 김녕점,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 해맞이해안로 140,이름불일치,제주 카페 제주 동쪽 카페 델문도 김녕점 주차장O 제주 여행 첫날부터 날씨가.. 이런날은 그냥 맛있는거 먹고 뷰좋카 가는게 국룰이죠 제주 동쪽 카페 중 오션뷰카페로 유명한 델문도 
카페레이어드 제주점,유지,,구좌,high,1,2010,귀여운 디저트가 한가득.,제주 제주시 구좌읍 동복리 719-1,56,56,20260422,409,카페 레이어드 제주점,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 동복로 85 주1동 1층,,제주 여행의 카페 맛집 중 런던베이글 바로 옆!! 핫하디 핫한!!! 카페 레이어드 제주점 방문 후기... 및 카페 맛집 찾으신다면 카페 레이어드 제주점 꼭 방문 추천해 드려요!! 
외도339,유지,,제주시내,high,3,6285,"오션뷰, 주차 자리 넓음, 테라스(야외석) 있고 애견동반 가능.",제주 제주시 일주서로 7345,57,56,20260703,4148,외도339,"카페,디저트>베이커리",제주특별자치도 제주시 일주서로 7345 OEDO339,,ㅎㅎ 제주에서 바다가 보이는 넓고 쾌적한 카페를 찾고 계신다면 외도339 한번 들러보시는 건 어떨까요?~ #외도339 #제주외도339 #제주외도 #제주도베이커리카페 #제주도외도33
미깡창고,유지,O,애월,low,1,2990,,,56,56,20260703,3158,미깡창고,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 중산간서로 6710-1 미깡창고,,"카페 미깡창고에요! [제주 서귀포시 카페] 미깡창고 (감성카페,제주도카페) [제주 서귀포시 카페] 미깡창고 (감성카페,제주도카페) 제주도에 와서 말을 못타고 못봤던게 조금 아쉬움으"
인디안 썸머 애월,유지,,애월,high,2,8547,분위기 씹어먹는 산장같은 술집 겸 카페,제주 제주시 애월읍 애월로4길 9 1층,56,56,20260707,2372,인디안 썸머 애월,술집>와인,제주특별자치도 제주시 애월읍 애월로4길 9 1층,비카페업종,제주 여행 2일차 ! 오늘은 일찍 나왔다 사실 게하에서 아침에 다 같이 러닝하고 바다 수영하는 이벤트도... 분위기가 너무 좋고 이대로 숙소에 가기 아쉬워 숙소 바로 앞에 있는 인
크래커스,유지,O,중문,mid,1,1606,뷰: 범섬(범섬뷰)과 함께하는 오션뷰 카페로 소개됨.,,57,56,20260626,2620,크래커스,"카페,디저트>카페",제주특별자치도 서귀포시 대정읍 보성구억로126번길 34 1층,,JEJU Trip 제주 한경 카페 커피맛집으로 추천하는 크래커스 주소 제주 제:주시 한경면 낙수로 1 영업시간... 커피향과 내리는 모습을 보는재미가 있는 제주 크래커스. 주문한 
풀베개,유지,O,서귀포시내,low,1,584,햇살의 반짝임과 여름의 싱그러움을 만날 수 있는 카페라는 설명이 있음.,,57,56,20260707,8603,풀베개,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 화순서서로 492-4,,제주 안덕면 카페 감성가득하고 애견동반 가능한 풀베개 제주의 꾸준한 핫플은 이유가 있는것 같아요. SNS의 영향으로 반짝 핫플이었다가 한 해 두 해만 지나도 없어지는 카페도 많은데
카페 오놀,유지,,중문,high,1,12010,중문에 위치한 디저트 카페로 제주 산간에서 방목하는 젖소의 우유로 만든 빙수가 인기며 딸기빙수가 추천 메뉴다. 운영시간은 10:00~18:00이,제주특별자치도 서귀포시 대포로 174 2층 카페 오놀,57,56,20260706,396,카페오놀,"음식점>카페,디저트",제주특별자치도 서귀포시 대포로 174 2층 카페 오놀,,카페 오놀 내비 찍었더니 여기로 안내해서 걍 여기에 주차했다. 지금 알았는데 아이갓에브리씽 카페는 중증장애인 바리스타가 있는 카페라고. 다음엔 여기 가봐야지. 우유갑 입구가 인상적
코모커피,유지,O,서귀포시내,low,2,39764,,,65,56,20260701,671,코모커피,"음식점>카페,디저트",제주특별자치도 제주시 건주로4길 6-1 108호 코모커피,,감성 카페가 생겨서 좋습니다 제주 삼화지구 카페 찾는다면 '코모커피' 방문해 보세요 글 읽어주셔서 감사합니다 모두 즐거운 커피 되세요 #삼화지구카페 #제주신상카페 #삼양카페 #코모
롤러코스트,유지,,제주시내,low,1,33490,,,58,56,20260708,947,롤러코스트 커피바,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 조함해안로 592-4 1층,,카페 롤러코스터! 테이블 몇개 안되는 아주 작은 카페입니다. 커피가 찐 맛있다고 하네요. 날씨가... #제주여행 #제주함덕 #함덕해수욕장 #서우봉 #제주도여행 #카페롤러코스트 #오
부이크,유지,,조천,high,1,58386,로스터스 카페로 커피 맛집이며 세모 영수증 제시 시 할인 제공.,,62,56,20260702,447,부이크브루어스,"카페,디저트>카페",제주특별자치도 제주시 구좌읍 행원로9길 4 부이크브루어스,,로스팅룸. 제주 부이크브루어스 제주시 구좌읍 행원로9길 4 부이크브루어스 영업시간 10시 ~ 18시 매주 목요일 휴무일 제주 코난비치와 월정리해수욕장에서 가깝다. 카페 바로 앞에 
카페우미,유지,,위미,low,1,172,,,58,56,20260516,172,우미지베이커리,"음식점>카페,디저트",제주특별자치도 제주시 설촌로12길 22 . 1~2층(삼양이동),이름불일치,2025년 12월 친구들과 제주도 여행 다녀온 카페 투어 포스팅 시작합니다 제주시 삼양동에 있는 우미지베... 밖은 못나가고 ㅋㅋ 이번 제주 여행 마지막 카페입니다. 제주 카페 백
Egattoc,유지,,제주시내,low,1,175231,,,61,55,20260705,179,에가톳 캐빈,"숙박>캠핑,야영장",제주특별자치도 서귀포시 안덕면 병악로 266 에가톳 캐빈,이름불일치;비카페업종,"숲 속 감성, 제주 Egattoc Hospitality Cabin 리뷰 최근 SNS에서 ‘힐링 숲+미니멀 건축 감성 숙소’로 조명받고 있는 제주 서귀포 Egattoc Hospita"
커피파인더,유지,,제주시내,high,1,7418,전 세계 각 지역의 커피를 시향할 수 있고 1984년 주택을 개조한 인테리어로 분위기 있으며 디카페인 옵션과 빵·쿠키 등도 제공. 4년 연속 블,제주 제주시 서광로32길 20 1층,57,55,20260702,3119,커피파인더,"음식점>카페,디저트",제주특별자치도 제주시 서광로32길 20 1층,,☕️커피파인더 주소 제주 제주시 서광로32길 20 ⏰영업시간 매일 08:30-22:00 주차 X(골목 주차) 제주 공항 커피 맛집 커피파인더는 제주 시청에서 도보 10분 거리에 위
토투가커피,유지,,애월,mid,1,1247,애월 카페거리에서 바다뷰를 보며 디저트를 즐길 수 있다는 본문 문맥 근거가 있음.,,56,55,20260708,1436,토투가커피,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 귀덕9길 19,,드립커피를 만들어 먹을 수 있게 다 준비되어 있었던..? 진짜 저거 보자마자 집에서도 먹을까.. 하면서... #제주도토투가103 #제주도토투가103호 #제주토투가숙소 #제주토투가커
금능카페,유지,,한림,low,1,97,,,56,55,20260707,63870,잔물결 협재 본점,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 금능길 58-1 1층,이름불일치,제주 한림 금능 가까운 카페 제주 서귀포 카페 추천 제주 여행 중 장소를 찾다가 가족들과 함께 방문한... 제주 금능 카페에서는 느낄 수 없는 이색적인 경험이었죠. 귤 따는 체험장
해난디아장,유지,O,구좌,low,1,96,,,61,55,20260619,517,해난디아장카페,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 해맞이해안로 564 1층,,"펜션 이용 팁 :●입실(오후 4시)/ 퇴실(오전 11시) ●평일(9만 원)/ 비수기, 주말(10만 원) 성수기(12만 원) 산책으로 일몰 명소 오저여, 코난 해변까지 지도출처:카카"
비선루,유지,O,협재,high,1,255,"비양도와 오션뷰가 보이는 통창과 루프탑에서 석양을 즐길 수 있으며, 수제청 음료와 디저트가 제공된다.",제주 제주시 한림읍 협재1길 47-1,55,55,20260702,1314,비선루,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 협재1길 47-1,,여기 앉아서 사진 찍는 시간도 하하호호 하면서 너무 즐거웠습니다^^ 협재 해수욕장 인근이라 접근성도 좋고 제주 서쪽 바다의 풍경과 비양도의 모습까지 한 번에 볼 수 있는 협재 비선
몽그레,유지,O,기타,low,1,5170,,,72,55,20260704,9467,몽그레 제주공항점,"음식점>카페,디저트",제주특별자치도 제주시 도리로 84,,제주 디저트 몽그레 제주도 선물 추천 제주공항 근처에 위치한 몽그레는 제주산 찰보리로 만들어 바삭하면서도 고소한 식감이 매력적인 제주 디저트였다. 깔끔한 개별 포장이 돋보이는 패키
엉클프레즐하우스,유지,,제주시내,low,1,33490,,,56,55,20260630,838,엉클프레즐하우스,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 함덕27길 18-2 1~2동 1층,,오늘은 제주 조천읍에 위치한 감성카페인 엉클프레즐하우스 다녀온 후기 풀어볼게요!! • 위치 • 엉클프레즐하우스는 함덕해수욕장 근처에 위치하고 있습니다! • 주차 • 카페 앞에 2-
도도카페,유지,,안덕,high,1,235386,"실내는 1층 우디 인테리어, 2층에서 제주 전경을 볼 수 있는 구성이며 소금빵 할인 행사(1,000원) 등 가성비를 강조함.",제주 서귀포시 안덕면 대평감산로 47 도도카페,54,54,20260625,9344,도도카페,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 대평감산로 47 도도카페,,도도카페 제주 서귀포시 안덕면 대평감산로 47 도도카페 애월로 넘어가기 전 카페인충전 및 탄수화물 보충을 위해 찾은 곳은 #cafe_dodo 이 카페로 온 이유는 소금빵이 무려 천
3인칭관찰자시점,유지,O,한림,high,1,13072,영업시간이 본문에 명시되어 있음: 매일 11:00~18:00.,제주시 한경면 신청7길 24,55,54,20260708,22024,3인칭관찰자시점,"음식점>카페,디저트",제주특별자치도 제주시 한경면 신창7길 24,,내 취향으로는 한라봉 &gt;&gt;&gt;&gt;&gt; 우유=오리지널 아 너무 길게 썼다 급 마무리 드디어 제주 기록 끝 #제주여행 #제주마루나키친 #제주3인칭관찰자시점 #3인
마노앤디또,유지,O,한림,mid,1,337,"시그니처 메뉴로 제주귤크림라떼·복라떼 등이 소개되어 있으며, 모든 디저트를 직접 구워 제공한다.",,58,54,20260707,276,호텔 마노앤디또,숙박>호텔,제주특별자치도 제주시 애월읍 부룡수길 13 호텔 마노앤디또,비카페업종,제주애월 가성비 숙소 호텔 마노앤디또 호텔 마노앤디또 지도: 제주 제주시 애월읍 부룡수길 13 호텔 마노앤디또 체크인: 3:00 체크아웃 : 11:00 주차가능 wifi 이용가능 
베카신,유지,O,조천,high,1,66496,,제주 제주시 조천읍 우진오름길 144 1층,56,54,20260706,1279,베카신,"카페,디저트>베이커리",제주특별자치도 제주시 조천읍 우진오름길 144 1층,,"방문한 베카신! 제주 빵지순례 코스에 꼭 들어있다던데  외관부터 감각적인 분위기가 느껴졌고, 매장 안은 따뜻한 우드톤 인테리어와 은은한 조명 덕분에 오래 머물고 싶은 공간이었다. "
